12990884	12992458	4	0	"AT4G25420"
5827171	5829682	5	0	"AT5G17690"
30324008	30328769	1	1	"AT1G80680"
17811935	17816692	2	0	"AT2G42810"
13174321	13177223	2	1	"AT2G30950"
22131093	22133678	5	0	"AT5G54510"
6718341	6718995	5	1	"AT5G19875"
26576486	26582431	1	1	"AT1G70510"
8606477	8608083	3	0	"AT3G23830"
19932230	19938369	5	1	"AT5G49160"
1237767	1244813	4	0	"AT4G02780"
16047354	16049355	4	0	"AT4G33280"
1664085	1666531	5	1	"AT5G05580"
6612749	6613972	1	1	"AT1G19150"
4065042	4074078	3	1	"AT3G12810"
151919	154130	4	1	"AT4G00350"
21312541	21312809	1	0	"AT1G57550"
20070158	20072780	3	1	"AT3G54220"
3095256	3100357	1	0	"AT1G09570"
7755605	7757852	2	0	"AT2G17840"
3501145	3501904	1	1	"AT1G10588"
7174464	7177942	3	0	"AT3G20550"
16847904	16849887	3	0	"AT3G45840"
19940678	19943007	5	0	"AT5G49180"
10372938	10374190	5	0	"AT5G28450"
9459870	9462253	4	0	"AT4G16810"
1129852	1138442	5	1	"AT5G04140"
19806419	19807608	1	1	"AT1G53160"
7016445	7022113	5	0	"AT5G20730"
15042413	15045315	4	0	"AT4G30910"
12743821	12745648	1	0	"AT1G34760"
4950359	4952803	5	0	"AT5G15250"
30200693	30202200	1	0	"AT1G80340"
10537648	10539831	1	1	"AT1G30040"
9584092	9588049	5	1	"AT5G27230"
27405456	27407969	1	0	"AT1G72830"
24167202	24171502	1	0	"AT1G65060"
12645542	12647965	4	1	"AT4G24470"
4289944	4291017	1	0	"AT1G12610"
24922810	24923709	5	1	"AT5G62040"
6771605	6777225	4	1	"AT4G11110"
8061844	8067716	1	1	"AT1G22770"
6659164	6660852	3	1	"AT3G19220"
13127826	13128666	2	0	"AT2G30810"
2043486	2044061	5	1	"AT5G06650"
2358083	2360549	3	0	"AT3G07370"
10223945	10224630	2	1	"AT2G24040"
19046858	19050880	5	1	"AT5G46910"
14239028	14242135	5	1	"AT5G36180"
16848359	16851224	1	0	"AT1G44446"
29890392	29894587	1	1	"AT1G79460"
11773251	11774681	2	1	"AT2G27550"
19687740	19690661	3	1	"AT3G53110"
15046457	15049373	4	0	"AT4G30920"
1843568	1846302	1	1	"AT1G06080"
202416	211003	4	1	"AT4G00450"
21979289	21984433	1	1	"AT1G59750"
22452573	22454140	1	1	"AT1G60980"
30198061	30199537	1	0	"AT1G80330"
26195689	26198322	5	1	"AT5G65540"
8207342	8210463	2	1	"AT2G18950"
25727337	25730361	5	1	"AT5G64330"
5149226	5151354	1	1	"AT1G14920"
281313	283129	4	1	"AT4G00690"
26640565	26642149	1	1	"AT1G70660"
1169544	1174878	5	1	"AT5G04240"
21213058	21214739	5	1	"AT5G52240"
225665	227302	1	0	"AT1G01620"
16544340	16549280	5	1	"AT5G41360"
4944900	4946216	5	1	"AT5G15230"
5344502	5346019	5	1	"AT5G16320"
13205381	13208252	1	1	"AT1G35670"
24331428	24333934	1	1	"AT1G65480"
5446462	5447859	1	0	"AT1G15820"
22950681	22955118	1	0	"AT1G62090"
15142677	15144182	2	0	"AT2G36060"
17692702	17697999	3	1	"AT3G47950"
17179302	17180806	1	1	"AT1G45474"
9036222	9038062	4	1	"AT4G15930"
28177703	28178940	1	1	"AT1G75040"
12666935	12670311	2	1	"AT2G29630"
9295736	9298541	1	1	"AT1G26830"
28695760	28698793	1	1	"AT1G76490"
19783352	19786902	1	1	"AT1G53090"
14597661	14599300	4	1	"AT4G29830"
5165628	5166745	1	0	"AT1G14980"
16551119	16556003	5	1	"AT5G41370"
25829952	25830487	1	0	"AT1G68765"
9629087	9631210	5	1	"AT5G27320"
13002742	13005600	2	0	"AT2G30520"
7499053	7501841	3	0	"AT3G21320"
13015277	13016220	4	0	"AT4G25470"
12963382	12966448	4	0	"AT4G25350"
3676146	3677037	3	0	"AT3G11650"
17756140	17758468	2	1	"AT2G42620"
10697703	10702152	2	0	"AT2G25140"
29511599	29513051	1	0	"AT1G78440"
15878699	15881044	5	1	"AT5G39660"
3093272	3095156	5	1	"AT5G09910"
29148256	29152315	1	0	"AT1G77590"
7097908	7103198	5	1	"AT5G20930"
5014212	5018347	5	0	"AT5G15450"
16500866	16501241	2	1	"AT2G39540"
