4144572	4147911	1	1	"AT1G12220"
4140948	4143605	1	1	"AT1G12210"
21001209	21003205	5	0	"AT5G51700"
23185912	23188593	1	1	"AT1G62630"
23494935	23497631	1	0	"AT1G63350"
4174875	4177559	1	0	"AT1G12280"
21352399	21355361	5	1	"AT5G52640"
10264395	10266818	1	1	"AT1G29340"
12157156	12158953	1	0	"AT1G33520"
12346232	12348513	1	1	"AT1G33960"
25283063	25286002	5	0	"AT5G63020"
23499515	23502169	1	0	"AT1G63360"
10959686	10960808	3	0	"AT3G28930"
12923919	12929156	4	1	"AT4G25230"
6634779	6637457	4	0	"AT4G10780"
8761180	8763152	2	0	"AT2G20310"
13224338	13227872	4	1	"AT4G26090"
1597745	1600369	5	0	"AT5G05400"
2225952	2229024	3	0	"AT3G07040"
20892643	20897817	5	1	"AT5G51450"
4178359	4182593	1	0	"AT1G12290"
9132310	9134030	3	1	"AT3G25070"
